,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,break_summer.1,break_winter.1,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
43,195,530,725,19,195,166,19,10,19,0,525,720,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2018-02-13,-0.8,0.0,2.7,54.5,3.1,0.0,0.0,0.0,0.0,2,1,4,1
44,354,456,810,19,350,275,43,32,19,0,441,791,4,4,0,0,0,0,15,19,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2018-02-14,3.5,0.0,2.6,51.0,7.4,0.0,0.0,0.0,0.0,3,1,3,1
45,1193,572,1765,64,1172,1003,37,132,64,0,536,1708,21,20,0,1,0,0,36,57,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-02-15,-0.7,0.0,2.5,28.0,3.8,0.0,0.0,0.0,0.0,2,1,1,1
46,2331,676,3007,246,2294,1976,71,247,246,0,668,2962,37,37,0,0,0,0,8,45,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-02-16,-1.1,0.0,2.1,40.1,3.3,0.0,0.0,0.0,0.0,2,1,2,1
47,2617,973,3590,71,2586,2203,101,282,71,0,947,3533,31,26,0,5,0,0,26,57,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2018-02-17,-3.0,0.0,2.9,25.6,1.9,0.0,0.0,0.0,0.0,1,1,1,1
48,2111,1259,3370,88,2079,1797,70,212,88,0,1240,3319,32,25,0,7,0,0,19,51,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2018-02-18,-0.4,0.0,1.3,26.9,7.4,0.0,0.0,0.0,0.0,3,1,1,1
49,767,791,1558,29,760,614,51,95,29,0,779,1539,7,6,0,1,0,0,12,19,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2018-02-19,1.8,0.0,1.5,48.6,6.1,0.0,0.0,0.0,0.0,3,1,3,1
50,561,682,1243,6,551,411,60,80,6,0,668,1219,10,9,0,1,0,0,14,24,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2018-02-20,0.9,0.0,2.5,41.0,5.0,0.0,0.0,0.0,0.0,2,1,3,1
51,465,704,1169,3,463,360,41,62,3,0,696,1159,2,2,0,0,0,0,8,10,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2018-02-21,-0.9,0.0,2.3,31.5,1.6,0.0,0.0,0.0,0.0,1,1,2,1
52,562,786,1348,17,555,419,58,78,17,0,775,1330,7,5,0,2,0,0,11,18,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-02-22,1.3,0.4,2.2,59.0,5.8,0.67,0.0,0.0,0.4,2,1,4,1
53,490,589,1079,9,484,346,53,85,9,0,582,1066,6,6,0,0,0,0,7,13,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-02-23,4.2,3.7,1.9,81.1,7.0,2.75,0.0,0.0,3.7,3,2,5,1
54,2125,1237,3362,33,2112,1797,65,250,33,36,1202,3314,13,13,0,0,0,0,35,48,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2018-02-24,2.4,0.0,2.1,49.4,6.1,0.0,0.0,0.0,0.0,3,1,3,1
55,4517,1622,6139,34,4441,3788,122,531,34,0,1576,6017,76,68,1,7,0,0,46,122,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2018-02-25,1.9,0.0,1.7,40.6,2.4,0.0,0.0,0.0,0.0,1,1,2,1
