,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
73,13047,2465,15512,136,10472,7835,301,2336,67,9464,1194,11666,2575,1893,662,20,69,1697,1271,3846,1,0,0,0,0,0,0,0,0,1,0,0,2017-06-09,21.2,0.1,3.3,69.8,6.9,1.08,0.1,0.1,0.1,3,5,5,2
74,16544,4957,21501,296,10479,9172,259,1048,187,1493,3220,13699,6065,5430,119,516,109,0,1737,7802,0,0,0,0,0,1,0,0,0,1,0,0,2017-06-10,21.5,4.5,2.3,46.8,6.9,3.83,1.5,4.0,4.5,3,5,3,1
75,17348,6150,23498,297,10670,9469,212,989,160,87,3818,14488,6678,5910,119,649,137,65,2332,9010,0,0,0,0,1,0,0,0,0,1,0,0,2017-06-11,22.8,0.0,2.2,33.8,1.0,0.0,0.0,0.0,0.0,1,6,2,1
76,1869,1720,3589,103,1330,1196,60,74,71,85,957,2287,539,479,44,16,32,179,763,1302,0,0,0,1,0,0,0,0,0,1,0,0,2017-06-12,22.1,0.0,2.8,45.5,4.9,0.0,0.0,0.0,0.0,2,6,3,1
77,1404,2511,3915,84,907,864,8,35,54,114,1282,2189,497,483,2,12,30,564,1229,1726,0,0,0,0,0,0,1,0,0,1,0,0,2017-06-13,21.5,0.0,2.4,63.0,7.0,0.33,0.0,0.0,0.0,3,5,5,1
78,1653,2493,4146,64,1294,914,317,63,58,543,1403,2697,359,321,3,35,6,517,1090,1449,0,0,1,0,0,0,0,0,0,1,0,0,2017-06-14,21.8,0.0,2.8,63.0,1.6,0.0,0.0,0.0,0.0,1,5,5,1
79,4710,2281,6991,83,4441,3079,22,1340,58,3705,1235,5676,269,258,3,8,25,537,1046,1315,0,1,0,0,0,0,0,0,0,1,0,0,2017-06-15,23.1,0.0,2.5,62.4,1.5,0.0,0.0,0.0,0.0,1,6,5,1
80,1414,1893,3307,68,1143,991,113,39,62,337,1200,2343,271,263,3,5,6,339,693,964,1,0,0,0,0,0,0,0,0,1,0,0,2017-06-16,25.5,0.0,2.2,55.8,1.3,0.0,0.0,0.0,0.0,1,6,4,1
81,7092,3132,10224,149,6099,5150,168,781,99,321,2549,8648,993,892,15,86,50,30,583,1576,0,0,0,0,0,1,0,0,0,1,0,0,2017-06-17,24.2,0.0,2.4,52.3,0.0,0.0,0.0,0.0,0.0,1,6,4,1
82,6269,2378,8647,218,5607,4943,91,573,192,185,2027,7634,662,581,20,61,26,0,351,1013,0,0,0,0,1,0,0,0,0,1,0,0,2017-06-18,24.3,0.0,2.3,52.0,0.8,0.0,0.0,0.0,0.0,1,6,4,1
